poisonous,capColor,odor,gillSpacing,gillSize,gillColor,stalkShape,ringType,sporePrintColor,population,habitat
0,w,a,c,b,w,e,p,n,n,m
1,w,p,c,n,n,e,p,k,v,u
0,w,a,w,n,p,t,p,u,v,d
0,w,l,c,b,w,e,p,n,s,g
0,w,l,w,n,p,t,p,u,v,d
0,w,a,c,b,n,e,p,k,s,m
0,y,l,c,b,w,e,p,k,y,p
0,n,n,w,b,p,t,e,k,s,g
0,y,a,c,b,w,e,p,n,y,g
1,n,p,c,n,p,e,p,n,s,g
0,n,n,c,n,g,e,p,n,v,u
0,y,l,c,b,w,e,p,n,s,m
0,w,l,c,b,n,e,p,n,s,g
0,w,l,c,b,k,e,p,n,n,m
0,n,n,c,n,k,e,p,n,v,u
0,w,a,c,b,w,e,p,k,n,m
0,w,l,c,b,g,e,p,k,n,g
0,w,a,c,b,g,e,p,n,n,m
0,n,l,c,b,w,e,p,n,s,g
1,w,p,c,n,k,e,p,k,v,g
0,w,a,c,b,n,e,p,n,n,g
0,w,a,c,b,n,e,p,n,s,m
0,w,l,w,n,w,t,p,u,v,d
0,g,n,c,n,g,e,p,k,v,u
0,g,n,w,b,p,t,e,k,a,g
0,y,a,c,b,g,e,p,n,s,m
0,w,a,c,b,k,e,p,n,s,m
1,n,p,c,n,w,e,p,k,s,u
0,w,l,c,b,n,e,p,k,n,m
1,n,p,c,n,w,e,p,k,v,u
0,w,l,c,b,k,e,p,n,s,g
0,y,a,c,b,k,e,p,n,n,m
0,y,a,c,b,n,e,p,n,s,p
0,n,a,c,b,w,e,p,n,s,p
0,n,a,c,b,w,e,p,n,y,g
0,w,a,c,b,w,e,p,n,n,m
0,n,n,w,b,h,t,e,k,s,g
0,y,l,c,b,k,e,p,n,n,m
1,w,p,c,n,w,e,p,n,s,g
0,y,a,c,b,n,e,p,n,n,m
0,n,n,c,n,p,e,p,n,v,u
0,y,l,c,b,k,e,p,k,s,m
0,w,l,c,b,n,e,p,k,n,m
0,n,a,c,b,n,e,p,k,s,g
0,y,a,c,b,g,e,p,k,s,m
0,w,a,c,b,g,e,p,k,s,g
0,n,l,c,b,n,e,p,n,y,p
0,g,n,c,n,p,e,p,n,y,u
0,g,n,c,n,g,e,p,k,y,u
0,y,l,c,b,n,e,p,k,s,g
0,y,l,c,b,n,e,p,k,s,m
0,w,l,c,b,k,e,p,n,s,g
0,w,a,c,b,g,e,p,k,s,m
0,y,a,c,b,g,e,p,n,n,m
0,y,a,c,b,k,e,p,k,s,m
0,g,n,w,b,p,t,e,k,s,g
0,y,a,w,n,p,t,p,n,v,d
1,w,p,c,n,p,e,p,k,s,g
0,w,n,w,b,k,t,e,k,a,g
0,w,a,c,b,w,e,p,k,s,g
0,y,l,w,n,w,t,p,n,v,d
0,w,a,c,b,n,e,p,k,s,g
0,w,l,c,b,g,e,p,k,s,g
0,n,n,c,b,p,t,p,n,y,d
0,w,l,c,b,k,e,p,n,s,m
0,y,l,c,b,g,e,p,n,n,m
0,n,a,c,b,p,e,p,k,y,g
0,w,n,w,b,n,t,e,n,s,g
0,y,l,c,b,w,e,p,k,s,g
1,w,p,c,n,n,e,p,n,v,g
0,y,l,c,b,n,e,p,k,s,g
0,w,a,w,n,p,t,p,n,v,d
0,y,a,c,b,g,e,p,n,n,g
1,w,p,c,n,k,e,p,k,v,u
0,y,a,w,n,w,t,p,n,v,d
0,w,a,c,b,k,e,p,k,n,m
0,w,l,w,n,n,t,p,n,v,d
0,w,l,w,n,w,t,p,n,v,d
0,y,l,c,b,k,e,p,n,s,m
0,y,a,w,n,w,t,p,u,v,d
0,w,a,c,b,w,e,p,k,s,g
0,y,a,c,b,n,e,p,k,s,m
0,n,l,c,b,p,e,p,n,s,p
0,w,l,c,b,k,e,p,k,n,g
0,y,a,c,b,n,e,p,n,s,m
1,n,p,c,n,n,e,p,n,v,u
0,y,l,c,b,w,e,p,k,n,g
0,w,a,c,b,g,e,p,k,n,g
1,n,p,c,n,w,e,p,k,v,u
0,w,l,c,b,n,e,p,k,s,m
0,y,l,c,b,w,e,p,n,n,m
0,y,a,c,b,n,e,p,k,s,g
0,w,l,c,b,g,e,p,n,n,g
0,n,n,c,b,p,t,p,k,y,d
0,n,a,c,b,w,e,p,k,y,g
0,y,l,c,b,n,e,p,n,s,g
0,g,n,c,n,g,e,p,n,v,u
0,n,l,c,b,n,e,p,k,y,g
0,w,a,c,b,k,e,p,n,s,g
0,w,a,c,b,n,e,p,k,n,g
0,y,a,c,b,g,e,p,k,s,m
0,y,a,w,n,p,t,p,n,v,d
0,y,l,c,b,g,e,p,n,s,g
0,n,n,w,b,n,t,e,n,a,g
0,y,l,w,n,n,t,p,n,v,d
0,y,a,c,b,n,e,p,n,n,m
0,g,n,w,b,n,t,e,k,s,g
0,n,n,c,n,g,e,p,n,y,u
0,g,n,w,b,h,t,e,n,a,g
0,n,a,c,b,p,e,p,n,s,p
0,w,a,c,b,k,e,p,n,s,g
0,y,a,c,b,k,e,p,k,s,m
0,y,l,c,b,w,e,p,k,s,p
0,g,n,c,n,g,e,p,n,v,u
0,n,a,c,b,p,e,p,n,y,p
1,n,p,c,n,k,e,p,k,s,u
0,y,a,c,b,p,e,p,n,y,p
0,y,a,c,b,w,e,p,n,s,g
0,n,n,w,b,h,t,e,n,s,g
0,n,n,w,b,p,t,e,k,a,g
0,n,n,w,b,k,t,e,k,a,g
0,n,a,c,b,n,e,p,n,s,p
0,y,a,c,b,w,e,p,k,n,g
0,n,n,c,n,p,e,p,k,v,u
0,y,a,c,b,w,e,p,n,s,p
0,y,a,w,n,p,t,p,u,v,d
0,y,a,c,b,g,e,p,n,n,g
0,g,n,w,b,n,t,e,k,s,g
0,y,a,c,b,w,e,p,n,s,g
0,n,l,c,b,n,e,p,k,y,g
0,y,a,c,b,w,e,p,k,s,m
0,n,n,c,n,n,e,p,n,y,u
0,w,a,c,b,k,e,p,k,s,m
0,w,l,c,b,n,e,p,k,n,g
0,n,n,c,n,k,e,p,k,y,u
0,y,l,c,b,n,e,p,n,n,m
0,y,l,c,b,k,e,p,n,n,g
0,y,a,c,b,k,e,p,n,s,g
1,n,p,c,n,p,e,p,k,s,u
0,w,n,w,b,k,t,e,n,s,g
0,w,a,c,b,w,e,p,k,s,m
0,w,a,c,b,g,e,p,n,n,g
0,n,n,c,b,n,t,p,n,y,d
1,n,p,c,n,w,e,p,n,s,u
0,n,l,c,b,w,e,p,k,y,p
0,n,n,w,b,n,t,e,k,a,g
0,y,l,c,b,n,e,p,k,n,m
0,y,a,c,b,w,e,p,n,n,m
0,y,a,c,b,n,e,p,n,s,m
0,y,l,c,b,g,e,p,k,n,m
0,w,a,c,b,n,e,p,n,n,g
0,g,n,c,n,k,e,p,n,v,u
0,n,a,c,b,w,e,p,k,s,g
0,g,n,w,b,h,t,e,n,a,g
0,w,l,c,b,k,e,p,n,n,m
0,y,l,c,b,w,e,p,n,s,m
0,g,n,c,n,n,e,p,k,v,u
1,n,p,c,n,p,e,p,n,s,u
0,w,l,c,b,w,e,p,n,n,g
0,w,a,c,b,n,e,p,k,n,m
1,n,p,c,n,p,e,p,n,v,u
0,y,l,c,b,w,e,p,n,s,m
0,w,l,c,b,k,e,p,n,s,m
0,y,l,c,b,n,e,p,k,s,m
0,y,l,c,b,n,e,p,n,n,g
0,w,a,c,b,g,e,p,n,s,m
0,w,a,c,b,g,e,p,k,s,g
0,n,l,c,b,w,e,p,n,y,p
0,w,a,c,b,w,e,p,n,s,m
0,n,n,w,b,n,t,e,k,s,g
0,n,l,c,b,n,e,p,n,s,p
0,y,l,c,b,n,e,p,k,y,g
1,n,p,c,n,k,e,p,k,v,g
0,y,a,c,b,w,e,p,n,n,g
0,w,l,w,n,p,t,p,u,v,d
1,n,p,c,n,w,e,p,k,s,u
0,y,l,c,b,k,e,p,k,n,g
0,g,n,w,b,h,t,e,n,a,g
0,w,l,c,b,n,e,p,k,s,g
0,w,a,c,b,w,e,p,n,s,m
1,n,p,c,n,p,e,p,n,s,u
0,n,l,c,b,w,e,p,k,s,g
0,w,l,c,b,n,e,p,n,n,m
0,w,a,w,n,n,t,p,n,v,d
0,n,a,c,b,n,e,p,n,y,p
0,w,a,c,b,k,e,p,n,n,m
0,w,n,w,b,p,t,e,k,a,g
0,g,n,c,n,n,e,p,n,v,u
0,w,a,c,b,g,e,p,n,s,g
0,y,l,c,b,n,e,p,n,y,g
0,y,l,c,b,g,e,p,n,s,g
0,y,l,c,b,w,e,p,k,s,g
0,w,l,w,n,n,t,p,n,v,d
0,w,a,c,b,w,e,p,k,n,m
0,y,a,w,n,n,t,p,u,v,d
0,w,l,c,b,g,e,p,n,n,m
0,y,l,c,b,k,e,p,n,n,m
0,n,a,c,b,p,e,p,n,y,p
0,w,l,c,b,n,e,p,k,s,m
0,w,l,c,b,g,e,p,k,s,m
0,y,a,c,b,p,e,p,k,y,p
0,w,l,c,b,n,e,p,k,n,m
0,y,l,c,b,w,e,p,k,n,m
0,n,l,c,b,p,e,p,k,s,g
0,w,l,c,b,n,e,p,n,n,g
0,n,l,c,b,n,e,p,k,s,g
0,w,l,c,b,w,e,p,k,s,m
0,n,n,c,b,n,t,p,n,y,d
0,w,l,c,b,k,e,p,n,s,m
0,w,l,c,b,g,e,p,k,n,g
0,y,l,c,b,g,e,p,k,n,m
0,y,l,w,n,p,t,p,n,v,d
0,w,l,c,b,g,e,p,n,n,m
0,g,n,w,b,h,t,e,k,a,g
0,w,a,c,b,k,e,p,n,n,g
0,y,l,c,b,w,e,p,k,s,m
0,y,a,c,b,n,e,p,k,y,p
0,n,a,c,b,w,e,p,n,y,p
0,w,a,c,b,k,e,p,n,s,m
0,y,l,c,b,n,e,p,n,s,g
0,w,a,c,b,g,e,p,k,s,g
0,y,a,c,b,w,e,p,n,n,m
0,n,n,c,n,k,e,p,k,v,u
0,n,a,c,b,p,e,p,n,y,g
0,w,a,c,b,g,e,p,k,n,m
0,y,l,c,b,g,e,p,k,n,g
0,y,l,c,b,g,e,p,k,n,g
0,y,a,c,b,w,e,p,n,s,p
0,y,l,c,b,g,e,p,k,n,g
0,w,a,c,b,w,e,p,k,n,m
0,w,a,w,n,n,t,p,u,v,d
0,g,n,c,n,k,e,p,k,y,u
0,y,l,w,n,n,t,p,n,v,d
0,g,n,c,n,k,e,p,k,y,u
0,n,n,c,n,p,e,p,n,y,u
0,w,a,c,b,w,e,p,n,n,g
0,w,a,w,n,p,t,p,n,v,d
0,y,l,c,b,n,e,p,k,s,m
0,y,a,c,b,k,e,p,k,s,m
0,y,l,c,b,g,e,p,k,s,g
0,w,l,w,n,p,t,p,u,v,d
0,g,n,c,n,g,e,p,k,y,u
0,w,a,w,n,w,t,p,n,v,d
0,y,a,c,b,p,e,p,k,y,g
0,w,l,c,b,w,e,p,n,s,m
0,n,n,c,n,p,e,p,n,y,u
0,n,l,c,b,n,e,p,k,s,p
0,n,a,c,b,n,e,p,k,s,p
0,y,a,w,n,n,t,p,u,v,d
1,n,p,c,n,p,e,p,n,s,g
1,n,p,c,n,k,e,p,n,v,u
0,n,l,c,b,w,e,p,n,s,p
0,y,a,c,b,w,e,p,k,s,g
0,y,a,c,b,k,e,p,n,n,m
0,w,n,w,b,h,t,e,n,a,g
0,n,a,c,b,p,e,p,n,s,g
0,w,a,c,b,n,e,p,n,s,g
0,y,l,c,b,w,e,p,k,n,m
0,y,a,c,b,w,e,p,n,n,g
0,y,a,c,b,g,e,p,k,n,g
0,w,l,c,b,g,e,p,k,n,m
0,y,a,c,b,w,e,p,k,s,m
0,y,a,c,b,w,e,p,n,s,g
1,n,p,c,n,n,e,p,n,v,g
0,g,n,w,b,p,t,e,n,s,g
0,n,n,w,b,p,t,e,n,a,g
0,w,a,w,n,n,t,p,n,v,d
0,g,n,c,n,p,e,p,n,v,u
0,n,n,c,n,k,e,p,n,y,u
0,y,a,c,b,k,e,p,k,s,g
0,w,a,w,n,n,t,p,u,v,d
0,g,n,c,n,n,e,p,n,v,u
0,n,n,c,n,k,e,p,n,v,u
0,w,n,w,b,h,t,e,n,a,g
0,n,l,c,b,n,e,p,k,y,p
0,y,a,c,b,k,e,p,k,n,g
0,w,l,c,b,k,e,p,k,s,g
0,y,a,c,b,k,e,p,n,n,g
0,w,l,c,b,w,e,p,k,n,m
0,w,l,c,b,n,e,p,k,s,g
0,y,a,c,b,p,e,p,n,y,p
1,n,p,c,n,n,e,p,n,s,u
0,g,n,c,n,n,e,p,k,y,u
0,y,l,c,b,w,e,p,n,s,g
0,n,a,c,b,w,e,p,n,s,p
0,y,a,c,b,k,e,p,n,s,m
0,n,n,c,n,k,e,p,k,y,u
0,y,a,c,b,w,e,p,n,y,p
0,n,a,c,b,n,e,p,n,y,p
0,w,a,c,b,n,e,p,k,s,g
1,w,p,c,n,n,e,p,k,s,g
0,n,l,c,b,w,e,p,k,y,p
1,n,p,c,n,k,e,p,k,s,g
0,w,n,w,b,k,t,e,k,s,g
0,w,a,c,b,k,e,p,k,s,m
0,n,n,c,n,p,e,p,k,v,u
0,y,l,c,b,g,e,p,n,s,m
0,w,a,w,n,p,t,p,u,v,d
0,y,a,c,b,n,e,p,k,s,m
0,g,n,w,b,p,t,e,k,s,g
1,w,p,c,n,n,e,p,n,s,g
0,y,a,c,b,p,e,p,k,s,g
0,n,n,w,b,n,t,e,k,a,g
0,w,a,c,b,w,e,p,k,s,m
0,y,l,c,b,g,e,p,n,s,m
0,g,n,c,n,g,e,p,n,v,u
0,y,l,w,n,p,t,p,u,v,d
0,y,a,c,b,g,e,p,n,n,m
0,n,n,c,n,n,e,p,n,y,u
0,g,n,w,b,h,t,e,n,s,g
0,y,l,c,b,p,e,p,k,s,p
0,w,l,w,n,p,t,p,n,v,d
0,y,l,c,b,k,e,p,k,s,g
0,y,a,c,b,p,e,p,k,y,p
1,n,p,c,n,k,e,p,k,v,u
0,w,l,w,n,w,t,p,u,v,d
0,w,l,c,b,w,e,p,k,n,g
0,y,a,c,b,g,e,p,n,n,m
0,y,a,c,b,g,e,p,n,s,g
0,y,a,w,n,w,t,p,u,v,d
0,y,a,w,n,n,t,p,u,v,d
0,w,n,w,b,n,t,e,k,s,g
0,w,a,c,b,w,e,p,n,s,m
1,w,p,c,n,w,e,p,k,v,g
0,y,a,c,b,g,e,p,n,n,g
0,g,n,w,b,k,t,e,k,s,g
1,n,p,c,n,n,e,p,n,s,g
0,w,a,c,b,w,e,p,k,n,m
0,w,a,c,b,k,e,p,k,n,m
0,y,l,w,n,n,t,p,n,v,d
0,y,a,c,b,k,e,p,k,n,g
0,w,l,c,b,w,e,p,k,n,g
0,n,a,c,b,w,e,p,n,y,g
0,y,l,c,b,w,e,p,n,s,g
0,n,n,c,n,p,e,p,n,v,u
0,y,l,c,b,n,e,p,n,s,g
0,y,l,c,b,w,e,p,n,y,g
1,n,p,c,n,w,e,p,n,s,g
0,w,a,c,b,g,e,p,n,n,m
0,y,a,c,b,w,e,p,n,s,m
0,w,l,c,b,k,e,p,k,n,g
0,y,a,c,b,n,e,p,n,y,g
0,y,a,c,b,w,e,p,k,s,g
0,w,a,c,b,k,e,p,n,s,m
0,g,n,c,n,g,e,p,k,v,u
0,n,n,c,n,n,e,p,k,y,u
0,g,n,c,n,n,e,p,k,v,u
0,w,a,c,b,n,e,p,k,n,m
1,w,p,c,n,k,e,p,k,s,u
0,g,n,w,b,h,t,e,k,s,g
0,y,l,c,b,g,e,p,k,s,g
1,w,p,c,n,k,e,p,n,s,g
0,y,a,c,b,g,e,p,k,n,m
1,n,p,c,n,p,e,p,k,v,u
0,y,l,c,b,n,e,p,k,n,m
0,w,l,c,b,g,e,p,k,s,m
1,w,p,c,n,p,e,p,n,s,g
1,n,p,c,n,n,e,p,k,s,u
0,g,n,w,b,n,t,e,n,a,g
0,n,l,c,b,w,e,p,n,y,g
0,w,n,w,b,k,t,e,n,a,g
0,n,l,c,b,n,e,p,n,s,p
0,w,l,c,b,w,e,p,k,s,m
0,w,a,c,b,n,e,p,k,n,g
0,g,n,w,b,n,t,e,n,s,g
0,n,a,c,b,n,e,p,k,y,g
0,w,l,c,b,w,e,p,k,s,m
0,g,n,c,n,n,e,p,k,v,u
0,n,n,w,b,h,t,e,n,a,g
0,g,n,w,b,n,t,e,n,s,g
0,w,n,w,b,p,t,e,k,a,g
1,w,p,c,n,k,e,p,n,s,u
0,y,l,c,b,p,e,p,k,s,g
0,w,l,c,b,g,e,p,k,s,g
0,g,n,w,b,p,t,e,k,a,g
0,w,l,c,b,g,e,p,k,s,g
0,y,a,c,b,n,e,p,n,n,m
0,g,n,c,n,n,e,p,n,y,u
0,y,l,c,b,p,e,p,k,s,g
0,w,l,c,b,w,e,p,n,n,g
0,w,l,w,n,n,t,p,u,v,d
0,y,a,c,b,n,e,p,k,s,p
0,g,n,c,n,p,e,p,k,y,u
0,w,l,c,b,g,e,p,k,s,m
0,y,l,w,n,w,t,p,u,v,d
0,g,n,c,n,p,e,p,k,y,u
0,w,a,c,b,g,e,p,n,s,g
0,w,a,c,b,k,e,p,k,n,g
0,n,n,w,b,n,t,e,n,s,g
